Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,112,4,Some Random Commen with Id 0
1,1,0,52,3,Some Random Commen with Id 1
2,2,2,123,1,Some Random Commen with Id 2
3,2,2,196,3,Some Random Commen with Id 3
4,4,5,141,9,Some Random Commen with Id 4
5,4,5,122,7,Some Random Commen with Id 5
6,4,5,99,4,Some Random Commen with Id 6
7,6,7,109,7,Some Random Commen with Id 7
8,6,7,170,7,Some Random Commen with Id 8
9,6,7,167,3,Some Random Commen with Id 9
10,6,7,52,1,Some Random Commen with Id 10
11,6,7,149,7,Some Random Commen with Id 11
12,7,1,33,4,Some Random Commen with Id 12
13,8,7,152,6,Some Random Commen with Id 13
14,8,7,36,6,Some Random Commen with Id 14
15,8,7,192,1,Some Random Commen with Id 15
16,8,7,172,9,Some Random Commen with Id 16
17,8,7,68,4,Some Random Commen with Id 17
18,8,7,99,4,Some Random Commen with Id 18
19,8,7,130,3,Some Random Commen with Id 19
20,9,0,170,7,Some Random Commen with Id 20
21,9,0,168,1,Some Random Commen with Id 21
22,9,0,83,6,Some Random Commen with Id 22
23,9,0,11,4,Some Random Commen with Id 23
24,10,3,120,4,Some Random Commen with Id 24
25,11,8,35,1,Some Random Commen with Id 25
26,11,8,132,7,Some Random Commen with Id 26
27,11,8,45,8,Some Random Commen with Id 27
28,11,8,25,3,Some Random Commen with Id 28
29,11,8,135,1,Some Random Commen with Id 29
30,11,8,107,7,Some Random Commen with Id 30
31,12,5,196,6,Some Random Commen with Id 31
32,12,5,4,4,Some Random Commen with Id 32
33,12,5,145,9,Some Random Commen with Id 33
34,13,0,126,3,Some Random Commen with Id 34
35,13,0,0,6,Some Random Commen with Id 35
36,13,0,183,0,Some Random Commen with Id 36
37,13,0,116,6,Some Random Commen with Id 37
38,13,0,177,2,Some Random Commen with Id 38
39,13,0,105,1,Some Random Commen with Id 39
40,14,5,109,0,Some Random Commen with Id 40
41,14,5,28,6,Some Random Commen with Id 41
42,14,5,67,9,Some Random Commen with Id 42
43,15,0,113,2,Some Random Commen with Id 43
44,15,0,140,8,Some Random Commen with Id 44
45,15,0,144,3,Some Random Commen with Id 45
46,15,0,13,0,Some Random Commen with Id 46
47,15,0,147,0,Some Random Commen with Id 47
48,15,0,38,8,Some Random Commen with Id 48
49,15,0,175,6,Some Random Commen with Id 49
50,15,0,102,5,Some Random Commen with Id 50
51,16,4,16,8,Some Random Commen with Id 51
52,16,4,175,9,Some Random Commen with Id 52
53,16,4,33,8,Some Random Commen with Id 53
54,16,4,69,4,Some Random Commen with Id 54
55,17,5,122,1,Some Random Commen with Id 55
56,17,5,109,0,Some Random Commen with Id 56
57,17,5,153,1,Some Random Commen with Id 57
58,17,5,47,1,Some Random Commen with Id 58
59,18,1,67,8,Some Random Commen with Id 59
60,19,6,85,3,Some Random Commen with Id 60
61,19,6,196,7,Some Random Commen with Id 61
62,19,6,83,0,Some Random Commen with Id 62
63,19,6,160,7,Some Random Commen with Id 63
64,19,6,76,0,Some Random Commen with Id 64
65,19,6,16,9,Some Random Commen with Id 65
66,19,6,19,0,Some Random Commen with Id 66
67,19,6,60,1,Some Random Commen with Id 67
68,20,6,138,1,Some Random Commen with Id 68
69,20,6,113,8,Some Random Commen with Id 69
70,20,6,50,4,Some Random Commen with Id 70
71,20,6,130,7,Some Random Commen with Id 71
72,20,6,143,2,Some Random Commen with Id 72
73,20,6,174,2,Some Random Commen with Id 73
74,20,6,37,9,Some Random Commen with Id 74
75,21,6,91,8,Some Random Commen with Id 75
76,21,6,123,5,Some Random Commen with Id 76
77,21,6,15,2,Some Random Commen with Id 77
78,21,6,50,6,Some Random Commen with Id 78
79,21,6,32,1,Some Random Commen with Id 79
80,21,6,20,0,Some Random Commen with Id 80
81,21,6,188,3,Some Random Commen with Id 81
82,21,6,160,2,Some Random Commen with Id 82
83,21,6,62,1,Some Random Commen with Id 83
84,23,9,71,1,Some Random Commen with Id 84
85,23,9,162,3,Some Random Commen with Id 85
86,23,9,50,9,Some Random Commen with Id 86
87,23,9,46,6,Some Random Commen with Id 87
88,23,9,187,4,Some Random Commen with Id 88
89,23,9,17,5,Some Random Commen with Id 89
90,23,9,120,9,Some Random Commen with Id 90
91,23,9,182,7,Some Random Commen with Id 91
92,24,4,179,7,Some Random Commen with Id 92
93,24,4,97,3,Some Random Commen with Id 93
94,24,4,129,1,Some Random Commen with Id 94
95,24,4,27,0,Some Random Commen with Id 95
96,24,4,42,9,Some Random Commen with Id 96
97,24,4,122,4,Some Random Commen with Id 97
98,26,3,170,5,Some Random Commen with Id 98
99,26,3,84,5,Some Random Commen with Id 99
100,26,3,134,0,Some Random Commen with Id 100
101,26,3,10,8,Some Random Commen with Id 101
102,28,7,50,1,Some Random Commen with Id 102
103,28,7,7,7,Some Random Commen with Id 103
104,28,7,29,7,Some Random Commen with Id 104
105,28,7,85,3,Some Random Commen with Id 105
106,28,7,57,9,Some Random Commen with Id 106
107,28,7,123,3,Some Random Commen with Id 107
108,28,7,106,7,Some Random Commen with Id 108
109,28,7,111,1,Some Random Commen with Id 109
110,28,7,40,1,Some Random Commen with Id 110
111,30,9,159,6,Some Random Commen with Id 111
112,30,9,81,6,Some Random Commen with Id 112
113,30,9,17,0,Some Random Commen with Id 113
114,30,9,86,7,Some Random Commen with Id 114
115,30,9,119,2,Some Random Commen with Id 115
116,30,9,135,6,Some Random Commen with Id 116
117,31,7,51,7,Some Random Commen with Id 117
118,31,7,173,1,Some Random Commen with Id 118
119,31,7,62,2,Some Random Commen with Id 119
120,32,9,83,9,Some Random Commen with Id 120
121,32,9,61,8,Some Random Commen with Id 121
122,32,9,173,2,Some Random Commen with Id 122
123,32,9,136,9,Some Random Commen with Id 123
124,32,9,178,2,Some Random Commen with Id 124
125,32,9,88,3,Some Random Commen with Id 125
126,32,9,109,1,Some Random Commen with Id 126
127,33,3,150,9,Some Random Commen with Id 127
128,33,3,129,6,Some Random Commen with Id 128
129,33,3,32,5,Some Random Commen with Id 129
130,33,3,23,0,Some Random Commen with Id 130
131,33,3,127,9,Some Random Commen with Id 131
132,35,8,93,1,Some Random Commen with Id 132
133,35,8,47,8,Some Random Commen with Id 133
134,35,8,198,1,Some Random Commen with Id 134
135,35,8,120,1,Some Random Commen with Id 135
136,35,8,40,7,Some Random Commen with Id 136
137,35,8,146,6,Some Random Commen with Id 137
138,36,4,76,7,Some Random Commen with Id 138
139,36,4,94,3,Some Random Commen with Id 139
140,36,4,124,9,Some Random Commen with Id 140
141,36,4,112,9,Some Random Commen with Id 141
142,36,4,10,8,Some Random Commen with Id 142
143,36,4,77,8,Some Random Commen with Id 143
144,36,4,191,3,Some Random Commen with Id 144
145,37,2,137,6,Some Random Commen with Id 145
